artist,title,year,source_rank
Radiohead,In Rainbows,2007,1
LCD Soundsystem,Sound of Silver,2007,2
Arcade Fire,Neon Bible,2007,3
M.I.A.,Kala,2007,4
The National,Boxer,2007,5
Battles,Mirrored,2007,6
Panda Bear,Person Pitch,2007,7
Spoon,Ga Ga Ga Ga Ga,2007,8
The White Stripes,Icky Thump,2007,9
of Montreal,"Hissing Fauna, Are You The Destroyer?",2007,10
Animal Collective,Strawberry Jam,2007,11
Amy Winehouse,Back to Black,2007,12
Arctic Monkeys,Favourite Worst Nightmare,2007,13
Kanye West,Graduation,2007,14
Bruce Springsteen,Magic,2007,15
Justice,†,2007,16
Miranda Lambert,Crazy Ex-Girlfriend,2007,17
Feist,The Reminder,2007,18
PJ Harvey,White Chalk,2007,19
"The Good, the Bad & the Queen","The Good, the Bad & the Queen",2007,20
Modest Mouse,We Were Dead Before The Ship Even Sank,2007,21
Les Savy Fav,Let's Stay Friends,2007,22
Okkervil River,The Stage Names,2007,23
The Field,From Here We Go Sublime,2007,24
Iron & Wine,The Shepherd's Dog,2007,25
Burial,Untrue,2007,26
Klaxons,Myths of the Near Future,2007,27
JAY-Z,American Gangster,2007,28
The Shins,Wincing The Night Away,2007,29
Kings of Leon,Because of the Times,2007,30
Jens Lekman,Night Falls Over Kortedala,2007,31
The Twilight Sad,Fourteen Autumns & Fifteen Winters,2007,32
Liars,Liars,2007,33
Deerhunter,Cryptograms,2007,34
Against Me!,New Wave,2007,35
Interpol,Our Love to Admire,2007,36
Bright Eyes,Cassadaga,2007,37
Patrick Wolf,The Magic Position,2007,38
Band of Horses,Cease to Begin,2007,39
Andrew Bird,Armchair Apocrypha,2007,40
Wilco,Sky Blue Sky,2007,41
Caribou,Andorra,2007,42
Rilo Kiley,Under the Blacklight,2007,43
Future of the Left,Curses!,2007,44
Bloc Party,A Weekend in the City,2007,45
Björk,Volta,2007,46
Grinderman,Grinderman,2007,47
Deerhoof,Friend Opportunity,2007,48
Ted Leo and the Pharmacists,Living With The Living,2007,49
Jamie T,Panic Prevention,2007,50
Portishead,Third,2008,1
TV on the Radio,Dear Science,2008,2
Fleet Foxes,Fleet Foxes,2008,3
Vampire Weekend,Vampire Weekend,2008,4
Deerhunter,Microcastle,2008,5
Bon Iver,"For Emma, Forever Ago",2008,6
Nick Cave & The Bad Seeds,"Dig, Lazarus, Dig!!!",2008,7
Lil Wayne,Tha Carter III,2008,8
No Age,Nouns,2008,9
MGMT,Oracular Spectacular,2008,10
M83,Saturdays = Youth,2008,11
Elbow,The Seldom Seen Kid,2008,12
Sigur Rós,Með suð í eyrum við spilum endalaust,2008,13
The Hold Steady,Stay Positive,2008,14
Erykah Badu,New Amerykah Part One (4th World War),2008,15
Santigold,Santogold,2008,16
Cut Copy,In Ghost Colours,2008,17
Hercules & Love Affair,Hercules And Love Affair,2008,18
Gang Gang Dance,Saint Dymphna,2008,19
Kings of Leon,Only By The Night,2008,20
Fucked Up,The Chemistry of Common Life,2008,21
The Walkmen,You & Me,2008,22
Okkervil River,The Stand Ins,2008,23
Coldplay,Viva La Vida or Death and All His Friends,2008,24
Hot Chip,Made in the Dark,2008,25
Glasvegas,Glasvegas,2008,26
Girl Talk,Feed The Animals,2008,27
WHY?,Alopecia,2008,28
Beck,Modern Guilt,2008,29
Flying Lotus,Los Angeles,2008,30
The Bug,London Zoo,2008,31
The Last Shadow Puppets,The Age of the Understatement,2008,32
Wolf Parade,At Mount Zoomer,2008,33
Kanye West,808s & Heartbreak,2008,34
Los Campesinos!,"Hold On Now, Youngster...",2008,35
Sea Power,Do You Like Rock Music?,2008,36
Deerhunter,Weird Era Cont.,2008,37
Metallica,Death Magnetic,2008,38
My Morning Jacket,Evil Urges,2008,39
Shearwater,Rook,2008,40
Foals,Antidotes,2008,41
Fuck Buttons,Street Horrrsing,2008,42
Death Cab for Cutie,Narrow Stairs,2008,43
Spiritualized,Songs in A&E,2008,44
Crystal Castles,Crystal Castles,2008,45
Frightened Rabbit,The Midnight Organ Fight,2008,46
Neon Neon,Stainless Style,2008,47
of Montreal,Skeletal Lamping,2008,48
Beach House,Devotion,2008,49
The Raconteurs,Consolers of the Lonely,2008,50
Animal Collective,Merriweather Post Pavilion,2009,1
Grizzly Bear,Veckatimest,2009,2
Phoenix,Wolfgang Amadeus Phoenix,2009,3
Yeah Yeah Yeahs,It's Blitz!,2009,4
Dirty Projectors,Bitte Orca,2009,5
The xx,xx,2009,6
Fever Ray,Fever Ray,2009,7
Neko Case,Middle Cyclone,2009,8
Raekwon,Only Built 4 Cuban Linx... Pt. II,2009,9
Bat For Lashes,Two Suns,2009,10
Fuck Buttons,Tarot Sport,2009,11
Girls,Album,2009,12
St. Vincent,Actor,2009,13
The Antlers,Hospice,2009,14
The Flaming Lips,Embryonic,2009,15
The Horrors,Primary Colours,2009,16
Wild Beasts,Two Dancers,2009,17
Japandroids,Post-Nothing,2009,18
Passion Pit,Manners,2009,19
Wilco,Wilco (The Album),2009,20
The Avett Brothers,I and Love and You,2009,21
Camera Obscura,My Maudlin Career,2009,22
The Pains of Being Pure at Heart,The Pains of Being Pure at Heart,2009,23
Florence + the Machine,Lungs,2009,24
The Decemberists,The Hazards of Love,2009,25
Mos Def,The Ecstatic,2009,26
Arctic Monkeys,Humbug,2009,27
Atlas Sound,Logos,2009,28
Bill Callahan,Sometimes I Wish We Were An Eagle,2009,29
Sunset Rubdown,Dragonslayer,2009,30
Manic Street Preachers,Journal For Plague Lovers,2009,31
Mastodon,Crack the Skye,2009,32
Sunn O))),Monoliths and Dimensions,2009,33
JAY-Z,The Blueprint 3,2009,34
ANOHNI and the Johnsons,The Crying Light,2009,35
Future of the Left,Travels with Myself and Another,2009,36
U2,No Line on the Horizon,2009,37
Monsters of Folk,Monsters of Folk,2009,38
Micachu,Jewellery,2009,39
Kasabian,West Ryder Pauper Lunatic Asylum,2009,40
Andrew Bird,Noble Beast,2009,41
The Big Pink,A Brief History of Love,2009,42
The Dead Weather,Horehound,2009,43
Metric,Fantasies,2009,44
Various Artists,Dark Was The Night,2009,45
Bob Dylan,Together Through Life,2009,46
Sonic Youth,The Eternal,2009,47
The Low Anthem,"Oh My God, Charlie Darwin",2009,48
HEALTH,GET COLOR,2009,49
Drake,So Far Gone,2009,50
Kanye West,My Beautiful Dark Twisted Fantasy,2010,1
Arcade Fire,The Suburbs,2010,2
LCD Soundsystem,This Is Happening,2010,3
The National,High Violet,2010,4
Beach House,Teen Dream,2010,5
Big Boi,Sir Lucious Left Foot: The Son of Chico Dusty,2010,6
Janelle Monáe,The ArchAndroid,2010,7
Deerhunter,Halcyon Digest,2010,8
Vampire Weekend,Contra,2010,9
The Black Keys,Brothers,2010,10
Caribou,Swim,2010,11
Sleigh Bells,Treats,2010,12
Ariel Pink's Haunted Graffiti,Before Today,2010,13
Flying Lotus,Cosmogramma,2010,14
