artist,title,year,source_rank
Henry Mancini,The Music from Peter Gunn,1959,1
Frank Sinatra,Come Fly with Me,1959,2
Ella Fitzgerald,Ella Fitzgerald Sings the Irving Berlin Song Book,1959,3
Frank Sinatra,Frank Sinatra Sings for Only the Lonely,1959,4
Van Cliburn,"Tchaikovsky: Concerto No. 1, In B-Flat Minor, Op.23",1959,5
Frank Sinatra,Come Dance with Me!,1960,6
Harry Belafonte,Belafonte at Carnegie Hall,1960,7
Henry Mancini,More Music From Peter Gunn,1960,8
Van Cliburn,Rachmaninoff Piano Concerto No. 3,1960,9
Robert Russell Bennett,"Victory at Sea, Vol. I",1960,10
Bob Newhart,The Button-Down Mind of Bob Newhart,1961,11
Harry Belafonte,Belafonte Returns to Carnegie Hall,1961,12
Sviatoslav Richter,Brahms: Concerto,1961,13
Frank Sinatra,Nice 'n' Easy,1961,14
Erich Leinsdorf,Puccini: Turandot,1961,15
Nat King Cole,Wild Is Love,1961,16
Judy Garland,Judy at Carnegie Hall,1962,17
Henry Mancini,Breakfast at Tiffany's,1962,18
Ray Charles,Genius + Soul = Jazz,1962,19
Si Zentner&Johnny MannSingers,Great Band with Great Voices,1962,20
Nat King Cole,The Nat King Cole Story,1962,21
John Green,West Side Story (Motion Picture Soundtrack),1962,22
Vaughn Meader,The First Family,1963,23
Tony Bennett,I Left My Heart in San Francisco,1963,24
Stan Getz&Charlie Byrd,Jazz Samba,1963,25
Ray Charles,Modern Sounds in Country and Western Music,1963,26
Allan Sherman,"My Son, the Folk Singer",1963,27
Barbra Streisand,The Barbra Streisand Album,1964,28
Ward Swingle&The Swingle Singers,Bach's Greatest Hits,1964,29
Andy Williams,Days of Wine and Roses and Other TV Requests,1964,30
Al Hirt,Honey in the Horn,1964,31
Soeur Sourire,The Singing Nun,1964,32
Stan Getz&João Gilberto,Getz/Gilberto,1965,33
Al Hirt,Cotton Candy,1965,34
Various Artists,Funny Girl,1965,35
Barbra Streisand,People,1965,36
Henry Mancini,The Pink Panther,1965,37
Frank Sinatra,September of My Years,1966,38
The Beatles,Help!,1966,39
Barbra Streisand,My Name Is Barbra,1966,40
Eddy Arnold,My World,1966,41
Various Artists,The Sound Of Music (Motion Picture Soundtrack),1966,42
Frank Sinatra,A Man and His Music,1967,43
Barbra Streisand,Color Me Barbra,1967,44
Maurice Jarre,Doctor Zhivago (Original Soundtrack),1967,45
The Beatles,Revolver,1967,46
Herb Alpert& the Tijuana Brass,What Now My Love,1967,47
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,1968,48
Frank Sinatra&Antônio Carlos Jobim,Francis Albert Sinatra & Antônio Carlos Jobim,1968,49
Vikki Carr,It Must Be Him,1968,50
Ed Ames,My Cup Runneth Over,1968,51
Bobbie Gentry,Ode to Billie Joe,1968,52
Glen Campbell,By the Time I Get to Phoenix,1969,53
Simon & Garfunkel,Bookends,1969,54
José Feliciano,Feliciano!,1969,55
The Beatles,Magical Mystery Tour,1969,56
Richard Harris,A Tramp Shining,1969,57
"Blood, Sweat & Tears","Blood, Sweat & Tears",1970,58
The Beatles,Abbey Road,1970,59
The 5th Dimension,The Age of Aquarius,1970,60
"Crosby, Stills & Nash","Crosby, Stills & Nash",1970,61
Johnny Cash,Johnny Cash At San Quentin,1970,62
Simon & Garfunkel,Bridge over Troubled Water,1971,63
Chicago,Chicago,1971,64
Carpenters,Close to You,1971,65
"Crosby, Stills, Nash & Young",Déjà Vu,1971,66
Elton John,Elton John,1971,67
James Taylor,Sweet Baby James,1971,68
Carole King,Tapestry,1972,69
George Harrison,All Things Must Pass,1972,70
Carpenters,Carpenters,1972,71
Various Artists,Jesus Christ Superstar (London Production),1972,72
Isaac Hayes,Shaft,1972,73
