artist,title,year,source_rank
Frank Ocean,Blonde,2016,1
Kanye West,My Beautiful Dark Twisted Fantasy,2010,2
Beyoncé,Beyoncé,2013,3
Kendrick Lamar,To Pimp a Butterfly,2015,4
Fiona Apple,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do,2012,5
Solange,A Seat at the Table,2016,6
Vampire Weekend,Modern Vampires of the City,2013,7
Robyn,Body Talk,2010,8
D’Angelo & the Vanguard,Black Messiah,2014,9
Frank Ocean,Channel Orange,2012,10
Grimes,Art Angels,2015,11
Rihanna,ANTI,2016,12
Drake,Take Care,2011,13
Lorde,Melodrama,2017,14
Kanye West,Yeezus,2013,15
Joanna Newsom,Have One on Me,2010,16
Sufjan Stevens,Carrie & Lowell,2015,17
Kendrick Lamar,"good kid, m.A.A.d. city",2012,18
Lana Del Rey,Norman Fucking Rockwell!,2019,19
DJ Rashad,Double Cup,2013,20
Beach House,Teen Dream,2010,21
Destroyer,Kaputt,2011,22
Kacey Musgraves,Golden Hour,2018,23
SZA,CTRL,2017,24
Jamie xx,In Colour,2015,25
Angel Olsen,Burn Your Fire for No Witness,2014,26
Earl Sweatshirt,Some Rap Songs,2018,27
FKA twigs,LP1,2014,28
Deerhunter,Halcyon Digest,2010,29
Mitski,Puberty 2,2016,30
Beyoncé,4,2011,31
Bon Iver,Bon Iver,2011,32
Big Thief,U.F.O.F.,2019,33
Vince Staples,Summertime ’06,2015,34
Blood Orange,Cupid Deluxe,2013,35
Rosalía,El Mal Querer,2018,36
David Bowie,Blackstar,2016,37
Tierra Whack,Whack World,2018,38
Bill Callahan,Apocalypse,2011,39
Charli XCX,Pop 2,2017,40
Beyoncé,Lemonade,2016,41
Erykah Badu,New Amerykah Part Two: Return of the Ankh,2010,42
Sky Ferreira,"Night Time, My Time",2013,43
A Tribe Called Quest,We got it from Here... Thank You 4 Your service,2016,44
Mount Eerie,A Crow Looked at Me,2017,45
The Knife,Shaking the Habitual,2013,46
Carly Rae Jepsen,E•MO•TION,2015,47
ANOHNI,Hopelessness,2016,48
Oneohtrix Point Never,Replica,2011,49
Grimes,Visions,2012,50
DJ Koze,Knock Knock,2018,51
LCD Soundsystem,This Is Happening,2010,52
Jlin,Black Origami,2017,53
Young Thug,Barter 6,2015,54
St. Vincent,Strange Mercy,2011,55
Björk,Vulnicura,2015,56
Kendrick Lamar,DAMN.,2017,57
Kamasi Washington,The Epic,2015,58
Taylor Swift,Red,2012,59
King Krule,The OOZ,2017,60
Arca,Arca,2017,61
Grouper,Ruins,2014,62
Danny Brown,XXX,2011,63
Mitski,Be the Cowboy,2018,64
Future,Dirty Sprite 2,2015,65
Fever Ray,Plunge,2017,66
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",2015,67
Flying Lotus,Cosmogramma,2010,68
Drake,"If You’re Reading This, It’s Too Late",2015,69
Perfume Genius,No Shape,2017,70
Robyn,Honey,2018,71
Father John Misty,"I Love You, Honeybear",2015,72
Cardi B,Invasion of Privacy,2018,73
SOPHIE,OIL OF EVERY PEARL’s UN-INSIDES,2018,74
Arcade Fire,The Suburbs,2010,76
Four Tet,There Is Love in You,2010,77
Kurt Vile,Smoke Ring for My Halo,2011,78
Tame Impala,Currents,2015,79
Aphex Twin,Syro,2014,80
Solange,When I Get Home,2019,81
Girls,"Father, Son, Holy Ghost",2011,82
Burial,Rival Dealer EP,2013,83
Chance the Rapper,Acid Rap,2013,84
Jessica Pratt,On Your Own Love Again,2015,85
Haim,Days Are Gone,2013,86
Rae Sremmurd,SremmLife,2015,87
Jenny Hval,"Apocalypse, girl",2015,88
Caribou,Our Love,2014,89
Joyce Manor,Never Hungover Again,2014,90
Bon Iver,"22, A Million",2016,91
JAY-Z / Kanye West,Watch the Throne,2011,92
Tirzah,Devotion,2018,93
Vampire Weekend,Contra,2010,94
Jai Paul,Leak 04-13 (Bait Ones),2019,95
Low,Double Negative,2018,96
The War on Drugs,Lost in the Dream,2014,97
Todd Terje,It’s Album Time,2014,98
Bad Bunny,X 100PRE,2018,99
Ariana Grande,Sweetener,2018,100
Chromatics,Kill for Love,2012,101
Jeremih,Late Nights: The Album,2015,102
Helado Negro,This Is How You Smile,2019,103
Waxahatchee,Cerulean Salt,2013,104
Disclosure,Settle,2013,105
Moses Sumney,Aromanticism,2017,106
Dirty Projectors,Swing Lo Magellan,2012,107
Kaytranada,99.9%,2016,108
Julia Holter,Aviary,2018,109
Waka Flocka Flame,Flockaveli,2010,110
EMA,Past Life Martyred Saints,2011,111
Daft Punk,Random Access Memories,2013,112
Japandroids,Celebration Rock,2012,113
Sampha,Process,2017,114
U.S. Girls,In a Poem Unlimited,2018,115
Janelle Monáe,The ArchAndroid,2010,116
Death Grips,The Money Store,2012,117
Leonard Cohen,You Want It Darker,2016,118
Girlpool,Before the World Was Big,2015,119
"Tyler, the Creator",Flower Boy,2017,120
The Hotelier,"Home, Like Noplace Is There",2014,121
Snail Mail,Lush,2018,122
Deafheaven,Sunbather,2013,123
Real Estate,Days,2011,124
Yves Tumor,Safe in the Hands of Love,2018,125
Panda Bear,Tomboy,2011,126
Car Seat Headrest,Teens of Denial,2016,127
Radiohead,A Moon Shaped Pool,2016,128
Various Artists,Bangs and Works Vol. 1: A Chicago Footwork Compilation,2010,129
Tame Impala,Lonerism,2012,130
Run the Jewels,Run the Jewels 2,2014,131
Amen Dunes,Freedom,2018,132
Frankie Cosmos,Zentropy,2014,133
M83,"Hurry Up, We’re Dreaming",2011,134
Fleet Foxes,Helplessness Blues,2011,135
Tim Hecker,"Ravedeath, 1972",2011,136
A$AP Rocky,LIVE.LOVE.A$AP,2011,137
Alabama Shakes,Sound & Color,2015,138
Emeralds,Does It Look Like I’m Here?,2010,139
Parquet Courts,Sunbathing Animal,2014,140
Rick Ross,Rich Forever,2012,141
Fennesz,Agora,2019,142
Weyes Blood,Titanic Rising,2019,143
PJ Harvey,Let England Shake,2011,144
Chief Keef,Finally Rich,2012,145
Sheer Mag,Compilation,2017,146
The National,High Violet,2010,147
Nicolas Jaar,Space Is Only Noise,2011,148
Mac DeMarco,2,2012,149
Playboi Carti,Playboi Carti,2017,150
Lady Gaga,The Fame Monster,2009,151
Arctic Monkeys,AM,2013,152
Purple Mountains,Purple Mountains,2019,153
Mica Levi,Under the Skin OST,2014,154
21 Savage / Metro Boomin,Savage Mode,2016,155
Jenny Lewis,The Voyager,2014,156
The 1975,A Brief Inquiry Into Online Relationships,2018,157
Sleigh Bells,Treats,2010,158
Pallbearer,Foundations of Burden,2014,159
Noname,Room 25,2018,160
The 1975,I like it when you sleep…,2016,161
Sturgill Simpson,Metamodern Sounds in Country Music,2014,162
Meek Mill,Dreamchasers 2,2012,163
Hop Along,Painted Shut,2015,164
Jay Som,Everybody Works,2017,165
Nicki Minaj,The Pinkprint,2014,166
(Sandy) Alex G,DSU,2014,167
Julianna Barwick,The Magic Place,2011,168
Paramore,After Laughter,2017,169
Skee Mask,Compro,2018,170
JPEGMAFIA,Veteran,2018,171
Popcaan,Where We Come From,2014,172
Hurray for the Riff Raff,Small Town Heroes,2014,173
Sharon Van Etten,Are We There,2014,174
Jessie Ware,Devotion,2012,175
Gil Scott-Heron,I’m New Here,2010,176
Margo Price,All American Made,2017,177
Savages,Silence Yourself,2013,178
Shabazz Palaces,Black Up,2011,179
Chvrches,The Bones of What You Believe,2013,180
Jamila Woods,LEGACY! LEGACY!,2019,181
G.L.O.S.S.,Trans Day of Revenge,2016,182
Elysia Crampton,American Drift,2015,183
Soccer Mommy,Clean,2018,184
Hailu Mergia,Lala Belu,2018,185
Various Artists,Mono No Aware,2017,186
Iceage,Beyondless,2018,187
Pusha-T,Daytona,2018,188
Miranda Lambert,The Weight of These Wings,2016,189
Huerco S.,For Those of You Who Have Never (and Also Those Who Have),2016,190
Kate Bush,50 Words for Snow,2011,191
Kelela,Cut 4 Me,2013,192
Lil Peep,Hellboy,2016,193
Titus Andronicus,The Monitor,2010,194
Downtown Boys,Full Communism,2015,195
Portal,Vexovoid,2013,196
Fatima Al Qadiri,Genre-Specific Xperience,2011,197
Jean Grae / Quelle Chris,Everything’s Fine,2018,198
Wu Lyf,Go Tell Fire to the Mountain,2011,199
Ratking,So It Goes,2014,200
